Altitude (m),Air density (kg/m3)
-1500,1.41137
-1499,1.41124
-1498,1.41111
-1497,1.41098
-1496,1.41085
-1495,1.41072
-1494,1.41059
-1493,1.41045
-1492,1.41032
-1491,1.41019
-1490,1.41006
-1489,1.40993
-1488,1.4098
-1487,1.40967
-1486,1.40954
-1485,1.40941
-1484,1.40928
-1483,1.40915
-1482,1.40901
-1481,1.40888
-1480,1.40875
-1479,1.40862
-1478,1.40849
-1477,1.40836
-1476,1.40823
-1475,1.4081
-1474,1.40797
-1473,1.40784
-1472,1.40771
-1471,1.40758
-1470,1.40744
-1469,1.40731
-1468,1.40718
-1467,1.40705
-1466,1.40692
-1465,1.40679
-1464,1.40666
-1463,1.40653
-1462,1.4064
-1461,1.40627
-1460,1.40614
-1459,1.40601
-1458,1.40588
-1457,1.40574
-1456,1.40561
-1455,1.40548
-1454,1.40535
-1453,1.40522
-1452,1.40509
-1451,1.40496
-1450,1.40483
-1449,1.4047
-1448,1.40457
-1447,1.40444
-1446,1.40431
-1445,1.40418
-1444,1.40405
-1443,1.40392
-1442,1.40379
-1441,1.40366
-1440,1.40353
-1439,1.40339
-1438,1.40326
-1437,1.40313
-1436,1.403
-1435,1.40287
-1434,1.40274
-1433,1.40261
-1432,1.40248
-1431,1.40235
-1430,1.40222
-1429,1.40209
-1428,1.40196
-1427,1.40183
-1426,1.4017
-1425,1.40157
-1424,1.40144
-1423,1.40131
-1422,1.40118
-1421,1.40105
-1420,1.40092
-1419,1.40079
-1418,1.40066
-1417,1.40053
-1416,1.4004
-1415,1.40027
-1414,1.40014
-1413,1.4
-1412,1.39987
-1411,1.39974
-1410,1.39961
-1409,1.39948
-1408,1.39935
-1407,1.39922
-1406,1.39909
-1405,1.39896
-1404,1.39883
-1403,1.3987
-1402,1.39857
-1401,1.39844
-1400,1.39831
-1399,1.39818
-1398,1.39805
-1397,1.39792
-1396,1.39779
-1395,1.39766
-1394,1.39753
-1393,1.3974
-1392,1.39727
-1391,1.39714
-1390,1.39701
-1389,1.39688
-1388,1.39675
-1387,1.39662
-1386,1.39649
-1385,1.39636
-1384,1.39623
-1383,1.3961
-1382,1.39597
-1381,1.39584
-1380,1.39571
-1379,1.39558
-1378,1.39545
-1377,1.39532
-1376,1.39519
-1375,1.39506
-1374,1.39493
-1373,1.3948
-1372,1.39467
-1371,1.39454
-1370,1.39441
-1369,1.39428
-1368,1.39415
-1367,1.39402
-1366,1.39389
-1365,1.39376
-1364,1.39363
-1363,1.3935
-1362,1.39337
-1361,1.39324
-1360,1.39311
-1359,1.39298
-1358,1.39285
-1357,1.39273
-1356,1.3926
-1355,1.39247
-1354,1.39234
-1353,1.39221
-1352,1.39208
-1351,1.39195
-1350,1.39182
-1349,1.39169
-1348,1.39156
-1347,1.39143
-1346,1.3913
-1345,1.39117
-1344,1.39104
-1343,1.39091
-1342,1.39078
-1341,1.39065
-1340,1.39052
-1339,1.39039
-1338,1.39026
-1337,1.39013
-1336,1.39
-1335,1.38987
-1334,1.38974
-1333,1.38961
-1332,1.38948
-1331,1.38936
-1330,1.38923
-1329,1.3891
